Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,10.04,10.06,9.92,10.00,31253700,8.901843
2009-12-30,10.05,10.08,9.89,9.99,46699600,8.892941
2009-12-29,10.27,10.29,10.09,10.11,40821600,8.999763
2009-12-28,10.18,10.37,10.15,10.20,53979900,9.07988
2009-12-24,10.17,10.20,10.06,10.13,24895700,9.017567
2009-12-23,10.01,10.11,9.93,10.08,64815000,8.973058
2009-12-22,9.79,9.90,9.71,9.90,50860300,8.812824
2009-12-21,9.77,9.80,9.63,9.67,53335700,8.608082
2009-12-18,9.56,9.73,9.47,9.68,88033100,8.616984
2009-12-17,9.49,9.56,9.33,9.39,55724600,8.358831
2009-12-16,9.44,9.64,9.41,9.49,71460500,8.447849
2009-12-15,9.04,9.46,9.03,9.39,109417900,8.358831
2009-12-14,9.00,9.10,8.97,9.08,37983700,8.082873
2009-12-11,9.09,9.10,8.98,9.00,63474700,8.011659
2009-12-10,8.94,9.09,8.90,9.05,63643700,8.056168
2009-12-09,8.87,9.01,8.80,8.86,52852400,7.887032
2009-12-08,8.87,8.89,8.76,8.82,57473000,7.851425
2009-12-07,8.90,9.00,8.80,8.91,41476300,7.931542
2009-12-04,9.10,9.14,8.78,8.94,79533500,7.958247
2009-12-03,9.05,9.11,8.89,8.94,57935400,7.958247
2009-12-02,8.94,9.07,8.91,9.01,63656600,8.020561
2009-12-01,9.01,9.07,8.81,8.88,104011700,7.904837
2009-11-30,8.78,8.93,8.67,8.89,58900100,7.913739
2009-11-27,8.50,8.81,8.40,8.73,42184800,7.771308
2009-11-25,8.87,8.90,8.76,8.81,26922600,7.842524
2009-11-24,8.80,8.83,8.65,8.81,47088400,7.842524
2009-11-23,8.84,8.91,8.67,8.73,61341800,7.771308
2009-11-20,8.63,8.78,8.58,8.64,59314700,7.691193
2009-11-19,8.82,8.82,8.55,8.73,90625800,7.771308
2009-11-18,9.00,9.14,8.80,8.94,120432800,7.958247
2009-11-17,8.78,9.00,8.75,8.98,126809600,7.993854
2009-11-16,8.51,8.79,8.50,8.71,121719000,7.753505
2009-11-13,8.25,8.45,8.24,8.41,86202200,7.48645
2009-11-12,8.25,8.44,8.17,8.20,86560300,7.299511
2009-11-11,8.33,8.40,8.26,8.33,89390000,7.415235
2009-11-10,8.15,8.35,8.04,8.24,136649800,7.335118
2009-11-09,7.78,8.18,7.75,8.18,203287900,7.281708
2009-11-06,7.40,7.75,7.34,7.75,159975800,6.898928
2009-11-05,7.36,7.50,7.32,7.45,125050200,6.631873
2009-11-04,7.35,7.43,7.24,7.27,240095200,6.47164
2009-11-03,7.35,7.67,7.31,7.44,193783100,6.622971
2009-11-02,7.73,7.84,7.35,7.58,208424500,6.747597
2009-10-30,7.28,7.30,6.81,7.00,95736100,6.23129
2009-10-29,7.14,7.35,7.06,7.30,69469900,6.498345
2009-10-28,7.27,7.34,6.89,6.96,94665300,6.195683
2009-10-27,7.48,7.53,7.17,7.33,72962600,6.525051
2009-10-26,7.70,7.84,7.40,7.47,60580400,6.649676
2009-10-23,7.82,7.84,7.55,7.63,47705600,6.792106
2009-10-22,7.73,7.87,7.62,7.76,53432400,6.90783
2009-10-21,7.69,7.98,7.65,7.78,69777200,6.925634
2009-10-20,7.66,7.83,7.65,7.71,50104000,6.863321
2009-10-19,7.54,7.68,7.42,7.57,62833900,6.738695
2009-10-16,7.56,7.59,7.40,7.42,47371300,6.605167
2009-10-15,7.61,7.74,7.61,7.66,40371200,6.818811
2009-10-14,7.80,7.81,7.61,7.66,58858200,6.818811
2009-10-13,7.58,7.88,7.51,7.62,100372000,6.783204
2009-10-12,7.19,7.83,7.16,7.62,152372700,6.783204
2009-10-09,7.15,7.16,7.05,7.12,32603200,6.338112
2009-10-08,7.19,7.27,7.11,7.18,78355000,6.391523
2009-10-07,7.11,7.14,7.00,7.13,33869000,6.347014
2009-10-06,7.18,7.22,7.04,7.14,48500800,6.355916
2009-10-05,6.94,7.08,6.84,7.05,42693000,6.275799
2009-10-02,6.81,6.99,6.61,6.84,55825100,6.088861
